round,best_bit,best_score,max_score,mean_score,all_scores_json
1,34,0.7017317414283752,0.7017317414283752,0.6967207472771406,"{""0"": 0.7005405426025391, ""1"": 0.6924039125442505, ""2"": 0.6964420080184937, ""3"": 0.6964126825332642, ""4"": 0.6958313584327698, ""5"": 0.6953899264335632, ""6"": 0.6971242427825928, ""7"": 0.6986463069915771, ""8"": 0.6993446350097656, ""9"": 0.6971444487571716, ""10"": 0.6965160965919495, ""11"": 0.6984878182411194, ""12"": 0.6982917785644531, ""13"": 0.6954573392868042, ""14"": 0.6984058618545532, ""15"": 0.696274995803833, ""16"": 0.697695791721344, ""17"": 0.6964418292045593, ""18"": 0.6969619393348694, ""19"": 0.6971278786659241, ""20"": 0.694887101650238, ""21"": 0.6942213773727417, ""22"": 0.6973580121994019, ""23"": 0.6983485221862793, ""24"": 0.6956075429916382, ""25"": 0.696462869644165, ""26"": 0.6979463696479797, ""27"": 0.6995123624801636, ""28"": 0.6961957812309265, ""29"": 0.6973693370819092, ""30"": 0.6966043710708618, ""31"": 0.6976152062416077, ""32"": 0.6986531019210815, ""33"": 0.698944091796875, ""34"": 0.7017317414283752, ""35"": 0.6927387118339539, ""36"": 0.6964089274406433, ""37"": 0.6945656538009644, ""38"": 0.6957062482833862, ""39"": 0.6947281360626221, ""40"": 0.6920113563537598, ""41"": 0.6949350833892822, ""42"": 0.6960336565971375, ""43"": 0.6986531615257263, ""44"": 0.6960299611091614, ""45"": 0.6977888345718384, ""46"": 0.6974034905433655, ""47"": 0.6958219408988953, ""48"": 0.6958898305892944, ""49"": 0.694465160369873, ""50"": 0.695737898349762, ""51"": 0.6944448947906494, ""52"": 0.6981407403945923, ""53"": 0.6954327821731567, ""54"": 0.6935988068580627, ""55"": 0.6963748335838318, ""56"": 0.7000125646591187, ""57"": 0.6984567642211914, ""58"": 0.6958902478218079, ""59"": 0.6977532505989075, ""60"": 0.7004064321517944, ""61"": 0.6975491046905518, ""62"": 0.6956813931465149, ""63"": 0.6950687766075134}"
2,57,0.6937338709831238,0.6937338709831238,0.6681308355182409,"{""0"": 0.6675096750259399, ""1"": 0.6728246808052063, ""2"": 0.6650381088256836, ""3"": 0.6701078414916992, ""4"": 0.6705098152160645, ""5"": 0.6699495911598206, ""6"": 0.6713188290596008, ""7"": 0.6722447276115417, ""8"": 0.6711929440498352, ""9"": 0.6680473685264587, ""10"": 0.6688842177391052, ""11"": 0.6724570393562317, ""12"": 0.6758168935775757, ""13"": 0.6708104610443115, ""14"": 0.6731125712394714, ""15"": 0.6697270274162292, ""16"": 0.6694825291633606, ""17"": 0.6751794815063477, ""18"": 0.6684032082557678, ""19"": 0.6707965135574341, ""20"": 0.6689540147781372, ""21"": 0.6700947284698486, ""22"": 0.6717422008514404, ""23"": 0.670848548412323, ""24"": 0.6771940588951111, ""25"": 0.6691293716430664, ""26"": 0.6683467030525208, ""27"": 0.6732013821601868, ""28"": 0.6694942712783813, ""29"": 0.6725869178771973, ""30"": 0.6646105647087097, ""31"": 0.6706799268722534, ""32"": 0.6678062677383423, ""33"": 0.6726508736610413, ""34"": 0.6714643836021423, ""35"": 0.6717565655708313, ""36"": 0.6685408353805542, ""37"": 0.6665105223655701, ""38"": 0.6698625683784485, ""39"": 0.6681547164916992, ""40"": 0.6675607562065125, ""41"": 0.674444317817688, ""42"": 0.670505702495575, ""43"": 0.6702199578285217, ""44"": 0.6751436591148376, ""45"": 0.6684207916259766, ""46"": 0.6707567572593689, ""47"": 0.670391857624054, ""48"": 0.6570806503295898, ""49"": 0.6583904027938843, ""50"": 0.6599236130714417, ""51"": 0.6515405178070068, ""52"": 0.6655471920967102, ""53"": 0.6600453853607178, ""54"": 0.6614155173301697, ""55"": 0.6606220602989197, ""56"": 0.6585173606872559, ""57"": 0.6937338709831238, ""58"": 0.6595543622970581, ""59"": 0.6574972867965698, ""60"": 0.6584533452987671, ""61"": 0.6577088236808777, ""62"": 0.6656495928764343, ""63"": 0.6502067446708679}"
3,57,0.6948698163032532,0.6948698163032532,0.6433912608772516,"{""0"": 0.6588346362113953, ""1"": 0.6552163362503052, ""2"": 0.6572126746177673, ""3"": 0.6582058072090149, ""4"": 0.655739963054657, ""5"": 0.662574052810669, ""6"": 0.6573258638381958, ""7"": 0.6612591743469238, ""8"": 0.6604104042053223, ""9"": 0.6542558073997498, ""10"": 0.6532658934593201, ""11"": 0.6577669978141785, ""12"": 0.6552570462226868, ""13"": 0.6553483605384827, ""14"": 0.6619619131088257, ""15"": 0.65677809715271, ""16"": 0.6596511006355286, ""17"": 0.6586341857910156, ""18"": 0.6545271277427673, ""19"": 0.6571924090385437, ""20"": 0.661032497882843, ""21"": 0.6585655212402344, ""22"": 0.6607351303100586, ""23"": 0.6577630043029785, ""24"": 0.6549448370933533, ""25"": 0.6600235104560852, ""26"": 0.6564986109733582, ""27"": 0.6562438011169434, ""28"": 0.6562572121620178, ""29"": 0.6598125696182251, ""30"": 0.6544080972671509, ""31"": 0.6551859378814697, ""32"": 0.6327194571495056, ""33"": 0.6357466578483582, ""34"": 0.6290029287338257, ""35"": 0.6411669254302979, ""36"": 0.6534742712974548, ""37"": 0.6354341506958008, ""38"": 0.6277289986610413, ""39"": 0.6289229393005371, ""40"": 0.6510321497917175, ""41"": 0.6582013964653015, ""42"": 0.6280825138092041, ""43"": 0.633643627166748, ""44"": 0.6284322738647461, ""45"": 0.6415539979934692, ""46"": 0.6353878974914551, ""47"": 0.6412118673324585, ""48"": 0.6161627769470215, ""49"": 0.6050801873207092, ""50"": 0.6148796677589417, ""51"": 0.6149966716766357, ""52"": 0.6390821933746338, ""53"": 0.6133938431739807, ""54"": 0.6048275232315063, ""55"": 0.6104441285133362, ""56"": 0.6176689267158508, ""57"": 0.6948698163032532, ""58"": 0.6157746911048889, ""59"": 0.6084727048873901, ""60"": 0.6050500869750977, ""61"": 0.6215528249740601, ""62"": 0.632131040096283, ""63"": 0.6180229783058167}"
4,57,0.6992658376693726,0.6992658376693726,0.566481240093708,"{""0"": 0.6078267097473145, ""1"": 0.6097784042358398, ""2"": 0.6109482049942017, ""3"": 0.6074041128158569, ""4"": 0.6063781380653381, ""5"": 0.6110812425613403, ""6"": 0.6090812087059021, ""7"": 0.6082378625869751, ""8"": 0.6061768531799316, ""9"": 0.6056403517723083, ""10"": 0.6066501140594482, ""11"": 0.6070479154586792, ""12"": 0.6089218258857727, ""13"": 0.6067579388618469, ""14"": 0.60574871301651, ""15"": 0.6090034246444702, ""16"": 0.567757785320282, ""17"": 0.5668643712997437, ""18"": 0.5867838263511658, ""19"": 0.6068423390388489, ""20"": 0.6075344681739807, ""21"": 0.5689600706100464, ""22"": 0.5657541751861572, ""23"": 0.6104422807693481, ""24"": 0.6051321029663086, ""25"": 0.6059664487838745, ""26"": 0.5803050994873047, ""27"": 0.5637470483779907, ""28"": 0.582090437412262, ""29"": 0.5876449942588806, ""30"": 0.6057940721511841, ""31"": 0.5992736220359802, ""32"": 0.5548596382141113, ""33"": 0.5270605087280273, ""34"": 0.5432282090187073, ""35"": 0.5833541750907898, ""36"": 0.6064155101776123, ""37"": 0.5534115433692932, ""38"": 0.5114955902099609, ""39"": 0.5439075827598572, ""40"": 0.5955165028572083, ""41"": 0.606738269329071, ""42"": 0.5506632924079895, ""43"": 0.5308215022087097, ""44"": 0.5423877239227295, ""45"": 0.5759124159812927, ""46"": 0.5852997899055481, ""47"": 0.5812425017356873, ""48"": 0.4724651873111725, ""49"": 0.4586021602153778, ""50"": 0.47930648922920227, ""51"": 0.541361391544342, ""52"": 0.563232421875, ""53"": 0.5223990082740784, ""54"": 0.4295900762081146, ""55"": 0.4190812408924103, ""56"": 0.5317118167877197, ""57"": 0.6992658376693726, ""58"": 0.5300302505493164, ""59"": 0.4362751841545105, ""60"": 0.42556479573249817, ""61"": 0.5209181308746338, ""62"": 0.5660878419876099, ""63"": 0.5290166139602661}"
5,57,0.6929120421409607,0.6929120421409607,0.40193802991416305,"{""0"": 0.4461553692817688, ""1"": 0.4713871479034424, ""2"": 0.5028125643730164, ""3"": 0.5057817101478577, ""4"": 0.5025413036346436, ""5"": 0.4610842764377594, ""6"": 0.4974461793899536, ""7"": 0.5050601959228516, ""8"": 0.5023883581161499, ""9"": 0.5000414252281189, ""10"": 0.48243963718414307, ""11"": 0.4728698134422302, ""12"": 0.4765486717224121, ""13"": 0.503745436668396, ""14"": 0.5105084776878357, ""15"": 0.4922764301300049, ""16"": 0.40864795446395874, ""17"": 0.35556939244270325, ""18"": 0.4580937623977661, ""19"": 0.5064488053321838, ""20"": 0.5061159729957581, ""21"": 0.38479676842689514, ""22"": 0.3830876052379608, ""23"": 0.4891693890094757, ""24"": 0.5112554430961609, ""25"": 0.49146756529808044, ""26"": 0.42946186661720276, ""27"": 0.4075036942958832, ""28"": 0.41518285870552063, ""29"": 0.45743271708488464, ""30"": 0.5122347474098206, ""31"": 0.49789515137672424, ""32"": 0.3149418830871582, ""33"": 0.27683714032173157, ""34"": 0.3348444700241089, ""35"": 0.46295058727264404, ""36"": 0.501426100730896, ""37"": 0.3535062074661255, ""38"": 0.23584115505218506, ""39"": 0.34743383526802063, ""40"": 0.5059924125671387, ""41"": 0.5092182755470276, ""42"": 0.37758496403694153, ""43"": 0.2593197822570801, ""44"": 0.3414660096168518, ""45"": 0.4057101011276245, ""46"": 0.4584587514400482, ""47"": 0.45185229182243347, ""48"": 0.21285907924175262, ""49"": 0.046383731067180634, ""50"": 0.22479481995105743, ""51"": 0.3412954807281494, ""52"": 0.4058918356895447, ""53"": 0.2914298474788666, ""54"": 0.12750545144081116, ""55"": 0.16568385064601898, ""56"": 0.3546738624572754, ""57"": 0.6929120421409607, ""58"": 0.34219422936439514, ""59"": 0.16536860167980194, ""60"": 0.11535680294036865, ""61"": 0.2855784296989441, ""62"": 0.41783013939857483, ""63"": 0.3494410514831543}"
6,57,0.6660915017127991,0.6660915017127991,0.17462714303223947,"{""0"": 0.13233280181884766, ""1"": 0.2078656703233719, ""2"": 0.30648261308670044, ""3"": 0.3164871335029602, ""4"": 0.30464819073677063, ""5"": 0.16367343068122864, ""6"": 0.3015502393245697, ""7"": 0.30988049507141113, ""8"": 0.29899877309799194, ""9"": 0.3081369996070862, ""10"": 0.21060800552368164, ""11"": 0.21722190082073212, ""12"": 0.1885460913181305, ""13"": 0.3113846778869629, ""14"": 0.30974870920181274, ""15"": 0.3083949685096741, ""16"": 0.08596667647361755, ""17"": 0.08077187836170197, ""18"": 0.19115640223026276, ""19"": 0.3131851851940155, ""20"": 0.2995639145374298, ""21"": 0.12804774940013885, ""22"": 0.13356798887252808, ""23"": 0.29979637265205383, ""24"": 0.2976032495498657, ""25"": 0.2880285084247589, ""26"": 0.19163544476032257, ""27"": 0.0794162005186081, ""28"": 0.1500249207019806, ""29"": 0.21163290739059448, ""30"": 0.30906352400779724, ""31"": 0.29994940757751465, ""32"": 0.03965609893202782, ""33"": 0.04294019937515259, ""34"": 0.05756082758307457, ""35"": 0.20681840181350708, ""36"": 0.31557464599609375, ""37"": 0.07185695320367813, ""38"": 0.06844932585954666, ""39"": 0.11414463073015213, ""40"": 0.23064741492271423, ""41"": 0.30549561977386475, ""42"": 0.14942102134227753, ""43"": 0.05423107370734215, ""44"": 0.05726420879364014, ""45"": 0.13925133645534515, ""46"": 0.20214807987213135, ""47"": 0.22541318833827972, ""48"": 0.019046738743782043, ""49"": -0.00011891259055119008, ""50"": 0.02308148890733719, ""51"": 0.035278379917144775, ""52"": 0.11903150379657745, ""53"": 0.04780358448624611, ""54"": 0.008640747517347336, ""55"": 0.041250068694353104, ""56"": 0.10792834311723709, ""57"": 0.6660915017127991, ""58"": 0.08669397979974747, ""59"": 0.0231360774487257, ""60"": 0.005944118369370699, ""61"": 0.04916008189320564, ""62"": 0.06901330500841141, ""63"": 0.03791208937764168}"
7,57,0.6586078405380249,0.6586078405380249,0.03635154428543785,"{""0"": 0.0015968210063874722, ""1"": 0.010211372748017311, ""2"": 0.08228658139705658, ""3"": 0.07959776371717453, ""4"": 0.07893400639295578, ""5"": 0.010885057039558887, ""6"": 0.068132683634758, ""7"": 0.07464446127414703, ""8"": 0.07328979671001434, ""9"": 0.0702868402004242, ""10"": 0.046357158571481705, ""11"": 0.014969405718147755, ""12"": 0.0243828184902668, ""13"": 0.07286112755537033, ""14"": 0.062262341380119324, ""15"": 0.034494929015636444, ""16"": 0.000985926017165184, ""17"": 0.0009955144487321377, ""18"": 0.008445431478321552, ""19"": 0.08525525033473969, ""20"": 0.03356432542204857, ""21"": 0.01919243484735489, ""22"": 0.004830821417272091, ""23"": 0.07762119174003601, ""24"": 0.07087082415819168, ""25"": 0.0976986363530159, ""26"": 0.01964888907968998, ""27"": 0.004104063380509615, ""28"": 0.0009877026313915849, ""29"": 0.01648343913257122, ""30"": 0.04932951554656029, ""31"": 0.03444034606218338, ""32"": -9.951415449904744e-06, ""33"": 7.408414967358112e-05, ""34"": 0.0004082656523678452, ""35"": 0.010904149152338505, ""36"": 0.05744868144392967, ""37"": 0.002539802575483918, ""38"": 0.0030979926232248545, ""39"": 0.007103668991476297, ""40"": 0.11201276630163193, ""41"": 0.07953979820013046, ""42"": 0.01242587435990572, ""43"": 0.0005247606313787401, ""44"": 0.0010461388155817986, ""45"": 0.0004574902995955199, ""46"": 0.006439532618969679, ""47"": 0.01710866205394268, ""48"": 0.0002191154781030491, ""49"": 0.0007753347745165229, ""50"": -7.066573743941262e-05, ""51"": 0.0054759681224823, ""52"": 0.0006079316372051835, ""53"": 0.0003348951868247241, ""54"": 0.000631845963653177, ""55"": 0.001309230807237327, ""56"": 0.003645801916718483, ""57"": 0.6586078405380249, ""58"": 0.007698005065321922, ""59"": 0.00042463268619030714, ""60"": -2.1712397938244976e-05, ""61"": 0.00011945376172661781, ""62"": 0.0004766076453961432, ""63"": 0.00549535546451807}"
8,57,0.6105553507804871,0.6105553507804871,0.01169972914861006,"{""0"": -0.000214505082112737, ""1"": 0.00011345660459483042, ""2"": 0.004190859384834766, ""3"": 0.004425233695656061, ""4"": 0.004678689409047365, ""5"": 0.00013111700536683202, ""6"": 0.009252214804291725, ""7"": 0.004794248379766941, ""8"": 0.0019187625730410218, ""9"": 0.00471683731302619, ""10"": -7.794817065587267e-05, ""11"": 0.00014362299407366663, ""12"": 0.0003032626409549266, ""13"": 0.0016953557496890426, ""14"": 0.0021692889276891947, ""15"": 0.00047557169455103576, ""16"": -0.00018176798766944557, ""17"": -0.00010722414299380034, ""18"": -0.00024372414918616414, ""19"": 0.0032768973615020514, ""20"": 0.0016920393100008368, ""21"": -7.206009468063712e-05, ""22"": -0.0002017005899688229, ""23"": 0.02567349560558796, ""24"": 0.0037646011915057898, ""25"": 0.0042342240922153, ""26"": -9.623574442230165e-05, ""27"": 0.00019532818987499923, ""28"": -1.3982903510623146e-05, ""29"": 0.00021421906421892345, ""30"": 0.003707436379045248, ""31"": -0.0001820717443479225, ""32"": -0.00019632100884336978, ""33"": -5.5943905863387045e-06, ""34"": -7.56214649300091e-05, ""35"": -0.00017425847181584686, ""36"": 0.0047888923436403275, ""37"": 0.0003504458873067051, ""38"": 8.181333214452025e-06, ""39"": -8.90372393769212e-05, ""40"": 0.05086406692862511, ""41"": 0.0023938454687595367, ""42"": -0.00018604740034788847, ""43"": 0.00010975969053106382, ""44"": 0.00015971327957231551, ""45"": 4.0097471355693415e-05, ""46"": -0.0001679280976532027, ""47"": -5.4325759265339e-05, ""48"": -7.537737110396847e-05, ""49"": -5.6556575145805255e-05, ""50"": -0.00012722825340460986, ""51"": 0.00031147481058724225, ""52"": -3.1628696888219565e-05, ""53"": -0.00016247206076513976, ""54"": -7.811762043274939e-05, ""55"": -0.00022384927433449775, ""56"": 0.00016427465016022325, ""57"": 0.6105553507804871, ""58"": 1.865265403466765e-05, ""59"": 0.00029246072517707944, ""60"": 7.148942677304149e-05, ""61"": 0.0002347087865928188, ""62"": -0.00018636067397892475, ""63"": -6.556612788699567e-05}"
9,57,0.5072495341300964,0.5072495341300964,0.008079091004105976,"{""0"": -4.581291796057485e-05, ""1"": -0.00011527691822266206, ""2"": -0.00012224997044540942, ""3"": 0.0002234073617728427, ""4"": -5.7982189900940284e-05, ""5"": 9.312415204476565e-05, ""6"": -0.00019561035151127726, ""7"": -0.00010310500510968268, ""8"": 2.477041562087834e-05, ""9"": 5.6529068388044834e-05, ""10"": 0.00030510671786032617, ""11"": -0.00017530069453641772, ""12"": -4.712268855655566e-05, ""13"": -8.931328920880333e-05, ""14"": 6.056411439203657e-05, ""15"": 0.00017071703041438013, ""16"": -4.6186542022041976e-05, ""17"": -0.00014184112660586834, ""18"": -0.00010480007767910138, ""19"": 0.00043566685053519905, ""20"": 0.00012478306598495692, ""21"": 1.791032809705939e-05, ""22"": 9.014347597258165e-05, ""23"": 0.0038630219642072916, ""24"": 0.0005962583818472922, ""25"": 0.00010513026791159064, ""26"": -7.002931670285761e-05, ""27"": -0.00010192090121563524, ""28"": -1.4008676771481987e-05, ""29"": 0.00028711516642943025, ""30"": -0.00017183313320856541, ""31"": -0.00010412938718218356, ""32"": -0.000268731004325673, ""33"": -9.857195254880935e-05, ""34"": 0.00014760605699848384, ""35"": 0.000203232528292574, ""36"": 0.00012666158727370203, ""37"": -3.05908324662596e-05, ""38"": -3.368358738953248e-05, ""39"": -0.00014544841542374343, ""40"": 0.006575566250830889, ""41"": -0.00010591436875984073, ""42"": 9.882840822683647e-05, ""43"": -0.00017766124801710248, ""44"": 0.0003377319953870028, ""45"": 0.00010758907592389733, ""46"": -0.00011688835365930572, ""47"": 7.432264283124823e-06, ""48"": 1.678732041909825e-05, ""49"": -9.986700752051547e-05, ""50"": -0.00022250432812143117, ""51"": -0.00022386672208085656, ""52"": -0.00016502752259839326, ""53"": -1.3144845070200972e-05, ""54"": -0.0001319236762356013, ""55"": -0.00013127598504070193, ""56"": -0.00013219700485933572, ""57"": 0.5072495341300964, ""58"": 0.0002044070279225707, ""59"": -0.00011223728506593034, ""60"": -0.00027259544003754854, ""61"": -0.00017715482681524009, ""62"": -0.00016760683502070606, ""63"": 6.561368354596198e-05}"
10,57,0.30389168858528137,0.30389168858528137,0.004843596787072357,"{""0"": -0.00020591201609931886, ""1"": 2.264919203298632e-05, ""2"": 2.4124836272676475e-05, ""3"": 0.00028629647567868233, ""4"": -0.00013470853446051478, ""5"": -8.44125770527171e-06, ""6"": -5.232184412307106e-05, ""7"": -0.00010489126725587994, ""8"": 0.0002815855841618031, ""9"": -0.00024020171258598566, ""10"": 8.724522922420874e-05, ""11"": -7.978066423675045e-05, ""12"": 3.875498805427924e-05, ""13"": -1.8375992567598587e-06, ""14"": -2.182594471378252e-05, ""15"": 5.938810863881372e-05, ""16"": -0.00010413760901428759, ""17"": -2.7349866286385804e-05, ""18"": 0.000848285504616797, ""19"": -0.00012288913421798497, ""20"": -0.00023393647279590368, ""21"": 0.0008550213533453643, ""22"": 0.00021588864910881966, ""23"": 5.859403609065339e-05, ""24"": 0.0005307027604430914, ""25"": 0.00021349539747461677, ""26"": -0.00017938388918992132, ""27"": 0.0005441709654405713, ""28"": 0.0001657569082453847, ""29"": 0.0001771470851963386, ""30"": -7.452111458405852e-05, ""31"": -7.693190855206922e-05, ""32"": -3.288454536232166e-05, ""33"": -0.00013712304644286633, ""34"": 0.0007281940197572112, ""35"": -0.00012557153240777552, ""36"": 0.0005138535634614527, ""37"": -0.0001132165634771809, ""38"": -8.434781193500385e-05, ""39"": 8.472568151773885e-05, ""40"": 0.00037500643520615995, ""41"": 0.0002917225647252053, ""42"": 0.00028900508186779916, ""43"": -0.0002984455495607108, ""44"": -0.00018666106916498393, ""45"": 0.0002505508600734174, ""46"": 0.000598289945628494, ""47"": 0.00026136732776649296, ""48"": -0.00010775255941553041, ""49"": 0.00013374221452977508, ""50"": -0.00013147610297892243, ""51"": 0.000586061563808471, ""52"": -0.00018619935144670308, ""53"": 0.00017674958507996053, ""54"": 0.0004593131016008556, ""55"": -0.00014926044968888164, ""56"": -3.640200520749204e-05, ""57"": 0.30389168858528137, ""58"": 0.00023138223332352936, ""59"": -0.00021523938630707562, ""60"": 0.00014272618864197284, ""61"": -0.00026905597769655287, ""62"": 4.346869536675513e-05, ""63"": 0.0002659464371390641}"
