estimator_study_id,source_study_id,study_id,domain,cipher,round,k,seed,control_type,n_samples_total,pca_components,explained_variance_sum,projection_id,sample_selection_hash,pair_shuffle_k1_identical,mmd2,mmd_permutation_p,mmd_permutation_null_median,mmd_permutation_null_q95,mmd_control_null_median,mmd_excess_null,mmd_kernel,mmd_bandwidth,mmd_bandwidth_scope,mmd_samples_per_distribution,source_config_hash,estimator_protocol_hash,estimator_job_hash,status
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,1,201,D0_vs_D0,10000,16,0.1796288639307022,2b012b8266e3befd26b0e43b711deaa72ebe4eb631a8461775e5a2eec7f02b38,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,False,0.005523976869881153,0.3,0.004767686128616333,0.006837810995057225,0.006596536375582218,-0.001072559505701065,rbf,4.139685153961182,shared_main_reference,100,8cb4824302c994b87db5c07232328068c9b0cd7d803ea1c24e74782473f19762,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,6b52cef27e09ef5aec53ba87d50df67af1a5549efb997b7377b0801137d9c53c,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,1,201,D1_vs_D0,10000,16,0.1796288639307022,2b012b8266e3befd26b0e43b711deaa72ebe4eb631a8461775e5a2eec7f02b38,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,False,0.1847422868013382,0.05,0.00664001889526844,0.009172720462083814,0.006596536375582218,0.17814575042575598,rbf,4.139685153961182,shared_main_reference,100,8cb4824302c994b87db5c07232328068c9b0cd7d803ea1c24e74782473f19762,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,6b52cef27e09ef5aec53ba87d50df67af1a5549efb997b7377b0801137d9c53c,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,1,201,D1_vs_D1,10000,16,0.1796288639307022,2b012b8266e3befd26b0e43b711deaa72ebe4eb631a8461775e5a2eec7f02b38,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,False,0.007669095881283283,0.65,0.008623452857136726,0.01239220574498176,0.006596536375582218,0.001072559505701065,rbf,4.139685153961182,shared_main_reference,100,8cb4824302c994b87db5c07232328068c9b0cd7d803ea1c24e74782473f19762,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,6b52cef27e09ef5aec53ba87d50df67af1a5549efb997b7377b0801137d9c53c,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,1,201,pair_shuffled,10000,16,0.1796288639307022,2b012b8266e3befd26b0e43b711deaa72ebe4eb631a8461775e5a2eec7f02b38,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,False,0.1730019897222519,0.05,0.007791707292199135,0.01149150440469384,0.006596536375582218,0.16640545334666967,rbf,4.139685153961182,shared_main_reference,100,8cb4824302c994b87db5c07232328068c9b0cd7d803ea1c24e74782473f19762,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,6b52cef27e09ef5aec53ba87d50df67af1a5549efb997b7377b0801137d9c53c,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,1,202,D0_vs_D0,10000,16,0.17889150977134705,071805a879cedf3001c63ebafe6d76c0c7560cf3a33f3f3b8a04190507bb1828,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,False,0.005052363965660334,0.25,0.003913846332579851,0.006617158185690638,0.007767389295622706,-0.0027150253299623728,rbf,4.151300430297852,shared_main_reference,100,00a64b799856d394cec1b56c8d793489b13e12e9f76c6f10e39ef76b38da034f,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,99fec90d648436d4794ff09c1ab3e3e67e944e763dbbdabd045383ce36ec666c,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,1,202,D1_vs_D0,10000,16,0.17889150977134705,071805a879cedf3001c63ebafe6d76c0c7560cf3a33f3f3b8a04190507bb1828,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,False,0.1637788563966751,0.05,0.006610940210521221,0.010021533537656068,0.007767389295622706,0.1560114671010524,rbf,4.151300430297852,shared_main_reference,100,00a64b799856d394cec1b56c8d793489b13e12e9f76c6f10e39ef76b38da034f,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,99fec90d648436d4794ff09c1ab3e3e67e944e763dbbdabd045383ce36ec666c,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,1,202,D1_vs_D1,10000,16,0.17889150977134705,071805a879cedf3001c63ebafe6d76c0c7560cf3a33f3f3b8a04190507bb1828,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,False,0.01048241462558508,0.25,0.008274512365460396,0.011230649240314958,0.007767389295622706,0.0027150253299623728,rbf,4.151300430297852,shared_main_reference,100,00a64b799856d394cec1b56c8d793489b13e12e9f76c6f10e39ef76b38da034f,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,99fec90d648436d4794ff09c1ab3e3e67e944e763dbbdabd045383ce36ec666c,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,1,202,pair_shuffled,10000,16,0.17889150977134705,071805a879cedf3001c63ebafe6d76c0c7560cf3a33f3f3b8a04190507bb1828,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,False,0.1538548320531845,0.05,0.006680326536297798,0.010451722797006364,0.007767389295622706,0.1460874427575618,rbf,4.151300430297852,shared_main_reference,100,00a64b799856d394cec1b56c8d793489b13e12e9f76c6f10e39ef76b38da034f,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,99fec90d648436d4794ff09c1ab3e3e67e944e763dbbdabd045383ce36ec666c,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,1,203,D0_vs_D0,10000,16,0.1794435679912567,9438c6304c9de8943edcbf5919a2ce86824f48f8767373bb806f703dc440500c,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,False,0.0029382610227912664,0.8,0.0037796550896018744,0.005501597234979268,0.007212032447569072,-0.004273771424777806,rbf,4.157676696777344,shared_main_reference,100,92f767740d0108e64499e79933a5b49a000b0db14e83faa4d9d329586fb7b1a1,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,f334aff5668f65ab17466ce5f1f81f066dedd81640dfaeb7f217db25d29fbc70,completed
present80_projected_mmd_full,present80_rkmp_controls_v1,present80_rkmp_controls_v1,analysis,PRESENT-80,6,1,203,D1_vs_D0,10000,16,0.1794435679912567,9438c6304c9de8943edcbf5919a2ce86824f48f8767373bb806f703dc440500c,e17494764a0b70d71507941c0870a216154a356e6eed2a4bcdcd75a1fdd00e85,False,0.1565028727054596,0.05,0.0066705141216516495,0.010371771454811093,0.007212032447569072,0.14929084025789052,rbf,4.157676696777344,shared_main_reference,100,92f767740d0108e64499e79933a5b49a000b0db14e83faa4d9d329586fb7b1a1,771e89cf815df46c8da5ad2ee77b8821252e3e42ae1a5eb861b2a9d4c267d94a,f334aff5668f65ab17466ce5f1f81f066dedd81640dfaeb7f217db25d29fbc70,completed
